metric,value
Benchmark datetime,2025-06-12 17:04:33
Model benchmarked,meta-llama/Llama-3.1-8B
Total prompts,200
Request rate (rps),8
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.001796
CPU energy (kWh),0.000575
GPU energy (kWh),0.006338
Raw IT energy before PUE (kWh),0.007846
Total energy after PUE (kWh),0.008709
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,35053
Total amount of emissions (kgCO2eq),0.0037447623
Total amount of functional‐unit tokens,35053
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000010683143400654
Energy Consumption per Functional Unit (kWh/FU),0.00000024844519536406
