metric,value
Benchmark datetime,2025-06-14 09:34:58
Model benchmarked,TechxGenus/DeepSeek-V2-Lite-AWQ
Total prompts,200
Request rate (rps),32
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.000508
CPU energy (kWh),0.000162
GPU energy (kWh),0.001828
Raw IT energy before PUE (kWh),0.002250
Total energy after PUE (kWh),0.002498
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,38348
Total amount of emissions (kgCO2eq),0.0010740415
Total amount of functional‐unit tokens,38348
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000002800775737964
Energy Consumption per Functional Unit (kWh/FU),0.00000006513431948754
